,Unnamed: 0.1,Unnamed: 0,business,Count
214,214,214,مراكز التعليم المستمر,0
215,215,215,المدارس المتوسطة الحكومية للبنات,0
216,216,216,مدارس التدريب الخاص لقيادة السيارات,0
217,217,217,المدارس المتوسطة الخاصة للبنين,0
218,218,218,المدارس الخاصة الشاملة للبنين,0
219,219,219,مدارس تحفيظ القرآن المتوسطة للبنين,0
220,220,220,المدارس الثانوية الأخرى,0
221,221,221,مدارس تحفيظ القرآن المتوسطة للبنات,0
222,222,222,الكليات والجامعات للبنات,0
223,223,223,المدارس المتوسطة الأخرى,0
224,224,224,المعاهد العليا,0
225,225,225,المدارس الحكومية الشاملة للبنات,0
226,226,226,المدارس العالمية,0
227,227,227,المدارس الثانوية الخاصة للبنين,0
228,228,228,مدارس التدريب الخاص المهني والفني,0
229,229,229,المدارس الثانوية الخاصة للبنات,0
230,230,230,مدارس التدريب الخاص الأخرى,0
231,231,231,مدارس تحفيظ القرآن الثانوية للبنين,0
232,232,232,خدمات التعليم الأخرى,0
233,233,233,أبراج الهاتف الجوال,12
234,234,234,خدمات وكلاء الشحن,0
235,235,235,خدمات النقل الأخرى,0
236,236,236,المرافق الأخرى للتخلص من النفايات الصلبة,0
237,237,237,المرافق البترولية الأخرى,0
238,238,238,التخلص من النفايات,0
239,239,239,ساحات السيارات والمعادن الخردة,0
240,240,240,محطات معالجة مياه المجاري,0
241,241,241,المرافق الأخرى لتصريف مياه المجاري,0
242,242,242,محطات معالجة المياه,0
243,243,243,مرافق الإذاعة والتلفزيون الأخرى,0
244,244,244,محطات الأبراج لإرسال البث,0
245,245,245,المرافق الأخرى للهاتف,0
246,246,246,المستوصفات الطبية,4
247,247,247,المختبرات الخاصة,1
248,248,248,المستشفيات الخاصة,1
249,249,249,الهلال الأحمر,0
250,250,250,المرافق الصحية الحكومية الأخرى,0
251,251,251,المختبرات الطبية الحكومية,0
252,252,252,مراكز الرعاية الأولية الحكومية,0
